Unnamed: 0,country,electricity_access,gdp,gdp_capita,labor_rate,labor_force,land_area,life_expectancy,water_access,air_pollution,population_density,population,unemployment_rate
0,Afghanistan,90.08,18833227887.0,536.23,47.28,9103245.75,652230.0,62.97,66.61,100.0,53.94,35179977.0,10.341
1,Albania,99.94,12856050812.0,4473.89,57.54,1362512.25,27400.0,78.93,93.92,100.0,104.9,2874159.25,14.633
2,Algeria,99.49,167755329274.0,4117.84,41.79,11979207.5,2381741.0,75.79,93.73,100.0,17.1,40736509.0,10.54
3,Angola,43.0,70956376358.0,2395.27,77.28,12467594.5,1246700.0,61.39,55.46,100.0,23.82,29691157.0,9.557
4,Argentina,99.9,580182474388.0,13246.88,59.17,19579367.75,2736690.0,76.73,99.01,95.34,16.01,43815411.75,8.301
5,Armenia,99.85,11271218297.0,3945.0,61.7,1411732.75,28470.0,74.77,99.63,100.0,100.39,2858227.5,12.689
6,Australia,100.0,1327969311851.0,54431.7,65.17,12899493.5,7689590.0,82.52,99.97,25.28,3.17,24391936.75,5.663
7,Austria,100.0,412515206876.0,47099.78,61.13,4581834.0,82520.0,81.54,100.0,87.18,106.09,8754363.5,5.52
8,Azerbaijan,100.0,44730590779.0,4567.05,64.73,4787638.0,82662.25,72.12,93.74,100.0,118.56,9800239.25,4.965
9,"Bahamas, The",100.0,12082700000.0,30398.36,73.56,227095.5,10010.0,73.52,98.89,100.0,39.7,397399.75,11.125
10,Bahrain,100.0,34140348404.0,23857.1,71.57,817207.25,778.75,79.63,99.93,100.0,1834.97,1428994.25,1.183
11,Bangladesh,81.21,268862224090.0,1668.75,57.3,65272299.75,130170.0,71.48,97.5,100.0,1235.1,160773122.5,4.368
12,Barbados,100.0,4909093763.0,17600.51,64.34,146561.75,430.0,76.87,98.49,100.0,648.61,278901.75,8.748
13,Belarus,98.38,54733730013.0,5788.11,63.7,5026088.0,202983.5,73.94,98.35,99.98,46.59,9457057.25,5.522
14,Belgium,100.0,496115529938.0,43691.1,53.61,5054295.5,30280.0,81.38,100.0,92.95,374.9,11351957.5,7.338
15,Belize,92.73,2267500000.0,6112.84,64.53,165635.5,22810.0,73.46,97.79,100.0,16.26,370985.75,7.249
16,Benin,35.04,12543322694.0,1095.3,64.79,4214324.25,112760.0,59.73,66.11,100.0,101.39,11432582.5,1.743
17,Bhutan,98.09,2264950558.0,3006.65,63.19,351598.0,38136.25,70.73,98.27,100.0,19.74,752813.0,2.908
18,Bolivia,91.98,36184403636.0,3185.04,68.72,5263061.0,1083300.0,67.6,91.21,100.0,10.48,11348884.5,3.445
19,Bosnia and Herzegovina,99.92,18082925764.0,5230.94,46.17,1358266.25,51200.0,76.75,96.15,99.97,67.6,3461366.5,23.008
20,Botswana,65.5,15437621394.0,6483.61,62.6,983638.25,566730.0,65.36,89.94,100.0,4.2,2377709.0,19.514
21,Brazil,99.73,1894588415636.0,9120.42,63.71,103273767.3,8358140.0,74.68,98.22,70.34,24.85,207679833.8,11.423
22,Brunei Darussalam,100.0,12506526808.0,29217.87,63.86,208545.75,5270.0,74.73,99.9,0.0,81.21,427995.25,8.536
23,Bulgaria,97.67,57639559686.0,8123.43,54.52,3325411.5,108560.0,74.8,99.22,99.92,65.42,7101699.25,7.02
24,Burkina Faso,16.03,13665636049.0,697.08,65.51,7009144.75,273600.0,59.44,50.19,100.0,71.47,19555524.5,4.51
25,Burundi,8.79,2784815121.0,252.03,79.53,4631736.25,25680.0,61.06,60.52,100.0,431.07,11069885.0,1.244
26,Cabo Verde,88.19,1950372169.0,3469.14,58.27,234115.0,4030.0,75.67,86.67,100.0,139.37,561679.0,12.056
27,Cambodia,75.31,21203914080.0,1346.52,73.26,8003315.5,176520.0,70.29,72.91,100.0,89.08,15724508.5,0.348
28,Cameroon,60.37,35524239795.0,1474.92,72.0,9851380.25,472710.0,60.47,66.76,100.0,50.87,24048551.0,3.581
29,Canada,100.0,1614766785201.0,44397.24,65.68,20014205.25,8965590.0,81.85,99.23,0.24,4.06,36355678.75,6.52
30,Central African Republic,13.71,1953543244.0,393.67,70.73,1798705.25,622980.0,53.59,40.77,100.0,7.95,4953757.75,5.736
31,Chad,9.48,10571933158.0,712.39,60.77,4670138.0,1259200.0,52.2,48.79,100.0,11.8,14855738.25,1.112
32,Chile,99.85,265890736253.0,14549.22,59.85,8789639.25,743532.0,80.08,99.8,97.94,24.55,18256007.5,6.845
33,China,100.0,12125071470064.0,8708.32,68.59,779046779.3,9388210.25,77.3,93.73,100.0,148.23,1391656250.0,4.498
34,Colombia,98.4,305569390938.0,6349.23,68.96,25334491.75,1109500.0,76.53,96.41,93.73,43.35,48093578.75,8.743
35,Comoros,77.55,1061275575.0,1406.53,44.3,202457.5,1861.0,63.42,80.16,100.0,404.95,753606.25,8.08
36,"Congo, Dem. Rep.",17.64,40159995715.0,483.85,66.01,29381629.75,2267050.0,59.23,36.08,100.0,36.55,82864627.25,4.457
37,"Congo, Rep.",45.72,11718615473.0,2229.74,67.96,2067659.75,341500.0,63.66,72.49,100.0,15.38,5251153.0,20.592
38,Costa Rica,99.55,59556287499.0,11982.76,60.67,2349575.75,51060.0,79.35,99.54,99.8,97.31,4968755.75,8.313
39,Cote d'Ivoire,64.91,51314396995.0,2087.41,64.74,9025201.5,318000.0,58.29,72.33,100.0,77.16,24538091.75,2.676
40,Croatia,100.0,55100273092.0,13296.77,51.71,1837726.5,55964.0,77.8,,99.85,74.11,4147581.75,12.23
41,Cuba,99.29,93851000000.0,8278.73,56.12,5319785.5,103935.0,77.61,93.86,100.0,109.07,11336638.75,1.95
42,Cyprus,100.0,22374901437.0,26079.81,61.89,624934.75,9240.0,81.18,99.78,100.0,130.21,1203128.75,11.82
43,Czechia,100.0,212983650179.0,20116.4,60.03,5368773.75,77210.0,78.9,99.88,99.73,137.08,10584189.25,3.533
44,Denmark,100.0,326187820094.0,56780.22,61.63,2947931.0,40000.0,80.9,100.0,63.06,143.56,5742527.25,5.808
45,Djibouti,60.39,2676348770.0,2591.66,32.31,223197.0,23180.0,62.5,75.86,100.0,44.51,1031737.75,26.186
47,Dominican Republic,99.09,78105727765.0,7372.67,62.65,4737243.0,48310.0,73.06,95.67,99.94,219.14,10586549.75,6.645
